X,Y,features,prediction
4,10,"[6,1,0,0,280000001c,c00000002,14,40100000,40240000]",0
7,10,"[6,1,0,0,280000001c,c00000002,14,401c0000,40240000]",0
4,8,"[6,1,0,0,280000001c,c00000002,14,40100000,40200000]",0
6,8,"[6,1,0,0,280000001c,c00000002,14,40180000,40200000]",0
12,3,"[6,1,0,0,280000001c,c00000002,14,40280000,40080000]",0
2,2,"[6,1,0,0,280000001c,c00000002,14,40000000,40000000]",0
5,2,"[6,1,0,0,280000001c,c00000002,14,40140000,40000000]",0
9,3,"[6,1,0,0,280000001c,c00000002,14,40220000,40080000]",0
3,4,"[6,1,0,0,280000001c,c00000002,14,40080000,40100000]",0
11,4,"[6,1,0,0,280000001c,c00000002,14,40260000,40100000]",0
10,5,"[6,1,0,0,280000001c,c00000002,14,40240000,40140000]",0
12,6,"[6,1,0,0,280000001c,c00000002,14,40280000,40180000]",0
13,5,"[6,1,0,0,280000001c,c00000002,14,402a0000,40140000]",0
5,11,"[6,1,0,0,280000001c,c00000002,14,40140000,40260000]",0
4,3,"[6,1,0,0,280000001c,c00000002,14,40100000,40080000]",0
10,3,"[6,1,0,0,280000001c,c00000002,14,40240000,40080000]",0
10,6,"[6,1,0,0,280000001c,c00000002,14,40240000,40180000]",0
12,12,"[6,1,0,0,280000001c,c00000002,14,40280000,40280000]",1
15,14,"[6,1,0,0,280000001c,c00000002,14,402e0000,402c0000]",1
14,16,"[6,1,0,0,280000001c,c00000002,14,402c0000,40300000]",1
14,14,"[6,1,0,0,280000001c,c00000002,14,402c0000,402c0000]",1
